Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
BobaKush,997839259,22,15,7,Rey: JTR R2-D2 C-3PO BB-8 G13 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
BobaKush,997839259,56,0,56,Jedi Master Luke Skywalker: Old Ben R3 JTR C-3PO R3 Mon Mothma G0 0* Chewpio JKL G0 0* R2-D2 G12 Han R4 Chewbacca R4 Rebel Y-wing 0* Leia HYoda Wedge Biggs Lando R3
BobaKush,997839259,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Micropterus Salimoidous,925452565,36,36,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Micropterus Salimoidous,925452565,57,16,41,Jedi Master Luke Skywalker: Old Ben R3 JTR C-3PO R3 Mon Mothma G9 6* Chewpio R4 JKL G9 R2-D2 G12 Han R3 Chewbacca R4 Rebel Y-wing Leia HYoda R3 Wedge Biggs Lando R4
Micropterus Salimoidous,925452565,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Micropterus Salimoidous,925452565,45,45,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
JoeMacFando,241665115,58,1,57,Leia Organa: Captain Rex R6 Princess Kneesaa G11 5* Wicket Lando Ackbar Scout Trooper G8 6* R2-D2 Cpt Solo ROLO Chirpa Captain Drogan G11 6* CLS Boushh (Leia Organa) G7 6* Chewpio Lobot G1
JoeMacFando,241665115,26,16,10,Rey: JTR R2-D2 C-3PO BB-8 G12 RT Scav Rey R5 Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
JoeMacFando,241665115,56,56,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
JoeMacFando,241665115,14,14,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Un Known,463235621,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Un Known,463235621,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
